code,nom,pourcentage,complet
68298,Sainte-Marie-aux-Mines,"75,00",non
68334,Thann,"100,00",oui
69006,Amplepuis,"100,00",oui
69071,Curis-au-Mont-d'Or,"100,00",oui
69143,Neuville-sur-Saône,"100,00",oui
69267,Villié-Morgon,"100,00",oui
69271,Chassieu,"100,00",oui
70021,Andornay,"100,00",oui
70079,Bougnon,"100,00",oui
70388,Noidans-lès-Vesoul,"100,00",oui
70453,La Rosière,"100,00",oui
71014,Autun,"100,00",oui
71137,Cluny,"100,00",oui
71149,Couches,"100,00",oui
71153,Le Creusot,"100,00",oui
71270,Mâcon,"100,00",oui
71275,Marcigny,"100,00",oui
72163,Ligron,"100,00",oui
72181,Le Mans,"100,00",oui
72264,Sablé-sur-Sarthe,"100,00",oui
72346,La Suze-sur-Sarthe,"100,00",oui
72386,Yvré-l'Evêque,"100,00",oui
73006,Aime-la-Plagne,"100,00",oui
73011,Albertville,"100,00",oui
73031,Bassens,"100,00",oui
73182,Mouxy,"100,00",oui
73186,Notre-Dame-de-Bellecombe,"100,00",oui
73227,Courchevel,"100,00",oui
73286,Serrières-en-Chautagne,"100,00",oui
74056,Chamonix-Mont-Blanc,"100,00",oui
74103,Domancy,"100,00",oui
74123,Faverges-Seythenex,"100,00",oui
74128,Fillinges,"100,00",oui
74212,Glières-Val-de-Borne,"100,00",oui
74224,La Roche-sur-Foron,"100,00",oui
74225,Rumilly,"100,00",oui
74243,Saint-Julien-en-Genevois,"100,00",oui
74256,Sallanches,"100,00",oui
74275,Talloires-Montmin,"100,00",oui
74282,Fillière,"71,42",non
74315,Yvoire,"100,00",oui
76025,Argueil,"100,00",oui
76056,Bardouville,"100,00",oui
76095,Bihorel,"100,00",oui
76172,La Chapelle-sur-Dun,"100,00",oui
76259,Fécamp,"100,00",oui
76296,Gainneville,"100,00",oui
76351,Le Havre,"100,00",oui
76370,Hugleville-en-Caux,"100,00",oui
76398,Louvetot,"100,00",oui
76492,Ouville-la-Rivière,"100,00",oui
76533,Rogerville,"100,00",oui
76599,Saint-Léger-du-Bourg-Denis,"100,00",oui
76636,Saint-Pierre-de-Varengeville,"100,00",oui
76640,Saint-Pierre-lès-Elbeuf,"100,00",oui
76648,Saint-Saëns,"100,00",oui
76655,Saint-Valery-en-Caux,"100,00",oui
76697,Torcy-le-Grand,"100,00",oui
76758,Yvetot,"100,00",oui
77053,Brie-Comte-Robert,"100,00",oui
77137,Courtacon,"100,00",oui
77216,Grez-sur-Loing,"100,00",oui
77217,Grisy-Suisnes,"100,00",oui
77261,Lorrez-le-Bocage-Préaux,"100,00",oui
77352,Ozouer-le-Voulgis,"100,00",oui
77493,Verneuil-l'Etang,"100,00",oui
77533,Vulaines-sur-Seine,"100,00",oui
80001,Abbeville,"100,00",oui
80010,Ailly-sur-Noye,"100,00",oui
80013,Airaines,"100,00",oui
